	LncRNA name	Synonyms	Ensembl ID	Refseq ID	Position	Cancer name	ICD-0-3-T	ICD-0-3-M	Methods	Sample (tissue/ cell line)	Expression pattern	Functional description	PubMed ID	Year	Title
1	91H	AI747191; 91H	N/A	N/A	N/A	colorectal cancer	C19.9		qPCR, RNAi etc.	CRC tissue, cell lines ( HCT8, HT29, HCT116, SW620 etc.)	up-regulated	91H was significantly overexpressed in cancerous tissue and CRC cell lines compared with adjacent normal tissue and a normal human intestinal epithelial cell line. Moreover, 91H overexpression was closely associated with distant metastasis and poor prognosis in patients with CRC, except for CNV of 91H. Multivariate analysis indicated that 91H expression was an independent prognostic indicator, as well as distant metastasis. 91H played an important role in the molecular etiology of CRC and might be regarded as a novel prognosis indicator in patients with CRC.	25058480	2014	Up-regulation of 91H promotes tumor metastasis and predicts poor prognosis for patients with colorectal cancer.
2	AA174084	AA174084	N/A	N/A	chr13:103561940-103562690	gastric cancer	C16		qPCR, RIP etc.	gastric cancer tissue	down-regulated	Expression levels of AA174084 were down-regulated significantly in 95 of 134 GC tissues (71%) compared with the levels in paired, adjacent, normal tissues. AA174084 levels had significant, negative correlations with age, Borrmann type, and perineural invasion. Plasma AA174084 levels in patients with GC dropped markedly on day 15 after surgery compared with preoperative levels and were associated with invasion and lymphatic metastasis. AA174084 levels in gastric juice from patients with GC were significantly higher than the levels in normal mucosa or in patients with minimal gastritis, gastric ulcers, and atrophic gastritis. The area under ROC was up to 0.848.	24986041	2014	Gastric juice long noncoding RNA used as a tumor marker for screening gastric cancer.
3	AATBC	AATBC	ENSG00000215458	NR_026961	chr21:43805758-43812567	bladder cancer	C67		microarray, qPCR, RNAi, in vitro knockdown etc.	bladder cancer tissue	up-regulated	We found that AATBC was overexpressed in bladder cancer patient tissues and positively correlated with tumor grade and pT stage. We also found that inhibition of AATBC resulted in cell proliferation arrest through G1 cell cycle mediated by cyclin D1, CDK4, p18 and phosphorylated Rb. In addition, inhibition of AATBC induced cell apoptosis through the intrinsic apoptosis signaling pathway, as evidenced by the activation of caspase-9 and caspase-3. The investigation for the signaling pathway revealed that the apoptosis following AATBC knockdown was mediated by activation of phosphorylated JNK and suppression of NRF2. 	25473900	2014	Knockdown of a novel LincRNA AATBC suppresses proliferation and induces apoptosis in bladder cancer.
4	AB019562	AB019562	N/A	N/A	chr4:87981722-87981807	hypopharyngeal squamous cell carcinoma	C13	M8070/3	microarray, qPCR etc.	primary HSCC tissue	up-regulated	AB209630 expression was significantly lower in carcinomas than in adjacent nontumor tissues. AB019562 expression was significantly higher in carcinomas than in adjacent nontumor tissues.	26131061	2015	Gene microarray analysis of lncRNA and mRNA expression profiles in patients with hypopharyngeal squamous cell carcinoma.
5	AB073614	AB073614	N/A	N/A	chr3:148891375-148893279	glioma		M9380/3	qPCR etc.	brain samples	up-regulated	The expression of AB073614 was detected in 65 glioma tissues and 13 normal brain tissues by qRT-PCR, showing that lncRNA AB073614 expression was significantly up-regulated in cancerous tissues compared with normal brain tissues (p < 0.001), and it was positively correlated with tumor grade (I-II grades vs. III-IV grades, p = 0.013) in glioma patients. Kaplan-Meier analysis demonstrated that increased AB073614 expression contributed to poor overall survival (HR (hazard ratio) = 1.952, 95%CI: 1.202-3.940, p = 0.0129). Further, univariate Cox regression analysis indicated that lncRNA AB073614 overexpression was an unfavorable prognostic factor in gliomas (HR = 1.997, 95%CI: 1.135-3.514, p = 0.016), regardless of the tumor grade (I-II grades vs. III-IV grades, HR = 1.902, 95%CI: 1.066-3.391, p = 0.029). Finally, after adjustment with age, sex, tumor grade and tumor location, multivariate Cox regression analysis suggested that both highly expressed lncRNA AB073614 (HR = 2.606, 95%CI: 1.408-4.824, p = 0.002) and high tumor grade (III-IV grades, HR = 2.720, 95%CI: 1.401-5.282, p = 0.003) could be considered independent poor prognostic indicators for glioma patients	27104549	2016	Up-Regulation of Long Non-Coding RNA AB073614 Predicts a Poor Prognosis in Patients with Glioma
6	AB073614	AB073614	N/A	N/A	chr3:148891375-148893279	ovarian cancer	C56.9		microarray, qPCR, Western blot, RNAi, FCA etc.	ovarain cancer tissue, cell lines (A2780, Caov3, HO-8910, OVCAR3, SKOV3 etc.) 	up-regulated	Results showed that AB073614 expression was significantly up-regulated in 85.3% (64/75) cancerous tissues compared with normal counterparts. Knockdown of AB073614 expression significantly inhibited cell proliferation and invasion, resulted in cell arrest in G1 phase of cell cycle and a dramatic increase of apoptosis. Finally, western blot assays indicated that lncRNA AB073614 may exert its function by targeting ERK1/2 and AKT-mediated signaling pathway. In conclusion, our study suggests that lncRNA AB073614 acts as a functional oncogene in OC development.	26299803	2015	A long noncoding RNA AB073614 promotes tumorigenesis and predicts poor prognosis in ovarian cancer.
7	AB074278	AB074278	N/A	N/A	chr17:63039260-63041400	urothelial carcinoma of the bladder	C67	M8120/3	microarray, qPCR, RNAi, in vitro knockdown etc.	urothelial carcinoma of the bladder tissue	up-regulated	AB074278 was chosen because it was significantly upregulated in all tumour phenotypes, strongly associated with tumour progression, and has a low protein coding potential score.AB074278 in apoptosis avoidance and the maintenance of a pro-proliferative state in cancer through a potential interaction with EMP1, a tumour suppressor and a negative regulator of cell proliferation.	25165097	2014	Identification of differentially expressed long noncoding RNAs in bladder cancer.
8	AB209630	AB209630	N/A	N/A	chr9:69243800-69260100	hypopharyngeal squamous cell carcinoma	C13	M8070/3	microarray, qPCR etc.	primary HSCC tissue	down-regulated	AB209630 expression was significantly lower in carcinomas than in adjacent nontumor tissues. AB019562 expression was significantly higher in carcinomas than in adjacent nontumor tissues.	26131061	2015	Gene microarray analysis of lncRNA and mRNA expression profiles in patients with hypopharyngeal squamous cell carcinoma.
9	AB209630	AB209630	N/A	N/A	chr9:69243800-69260100	hypopharyngeal squamous cell carcinoma	C13	M8070/3	microarray, qPCR etc.	HSCC tissues	up-regulated	Our results demonstrated that AB209630 levels were markedly lower in HSCC tissues and cells than in normal tissues and cells, and increased expression of AB209630 level significantly inhibited growth, metastasis, and invasion and stimulated apoptosis in vitro. In addition, patients with decreased expression of AB209630 had a significantly poorer prognosis than those with high AB209630 expression. These data suggest that increased expression of AB209630 might either stimulate or inhibit biological activities involved in HSCC development, indicating a potential application of AB209630 in future treatment for this disease. This study suggest that AB209630 functions as a tumor suppressor in HSCC, and its decreased expression may help predict a poor prognostic outcome of HSCC. Our future work will focus on the mechanisms of whether and how AB209630 as a tumor suppressor gene is involved in HSCC development	26895099	2016	AB209630, a long non-coding RNA decreased expression in hypopharyngeal squamous cell carcinoma, influences proliferation, invasion, metastasis, and survival
10	ABHD11-AS1	ABHD11-AS1; WBSCR26; LINC00035; NCRNA00035	ENSG00000225969	NR_026690 	chr7:73735038-73736054	gastric cancer	C16		qPCR etc.	gastric cancer tissue	up-regulated	Results show that compared with adjacent nontumor tissues the expression level of ABHD11-AS1 in gastric cancer tissues was significantly increased. 	24984296	2014	Increased expression of long noncoding RNA ABHD11-AS1 in gastric cancer and its clinical significance.
11	ABHD11-AS1	ABHD11-AS1; WBSCR26; LINC00035; NCRNA00035	ENSG00000225969	NR_026690 	chr7:73735038-73736054	gastric cancer	C16		qPCR etc.	gastric cancer tissue, gastric juice	up-regulated	The results showed that ABHD11-AS1 levels in gastric cancer tissues were significantly higher than those in other tissues. Its levels in gastric juice from gastric cancer patients were not only significantly higher than those from cases of normal mucosa or minimal gastritis, atrophic gastritis, and gastric ulcers but also associated with gender, tumor size, tumor stage, Lauren type, and blood carcinoembryonic antigen (CEA) levels. 	26280398	2015	Using gastric juice lncRNA-ABHD11-AS1 as a novel type of biomarker in the screening of gastric cancer.
12	AC004166.7	AC004166.7; STAG3L2; MGC131759; STAG3L2P	ENSG00000277072	N/A	chr7:71800000-76400000	lung adenocarcinoma	C34	M8140/3	microarray, qPCR etc.	lung adenocarcinoma tissue	up-regulated	We initially identified a number of interesting candidate lncRNAs for further analysis. Of these, LOC100132354 and RPLP0P2 exhibited the most significantly changed expression in our analysis of 100 pairs of lung adenocarcinoma and normal lung tissue samples. The expression of LOC100132354 was significantly higher in lung adenocarcinoma than in the adjacent tissues, while the expression of RPLP0P2 was significantly lower in lung adenocarcinoma than in the adjacent tissues.	25089627	2014	Long noncoding RNA expression profiles of lung adenocarcinoma ascertained by microarray analysis.
